"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C4, C5, C6, C7, C8","6","100nf","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm",""
"2","C2","1","1uf","Capacitor_THT:C_Rect_L7.0mm_W3.5mm_P5.00mm",""
"3","C3","1","100uf","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm",""
"4","D1","1","BAT42","Diode_THT:D_DO-35_SOD27_P7.62mm_Horizontal",""
"5","D2","1","POWER","LED_THT:LED_D3.0mm",""
"6","D3","1","D0","LED_THT:LED_D5.0mm",""
"7","D4","1","D1","LED_THT:LED_D5.0mm",""
"8","D5","1","D2","LED_THT:LED_D5.0mm",""
"9","D6","1","D3","LED_THT:LED_D5.0mm",""
"10","D7","1","D4","LED_THT:LED_D5.0mm",""
"11","D8","1","D5","LED_THT:LED_D5.0mm",""
"12","D9","1","D6","LED_THT:LED_D5.0mm",""
"13","D10","1","D7","LED_THT:LED_D5.0mm",""
"14","H1, H2, H3","3","MountingHole","MountingHole:MountingHole_3.2mm_M3",""
"15","J1","1","Barrel_Jack","Connector_BarrelJack:BarrelJack_Horizontal",""
"16","J2","1","Conn_02x05_Odd_Even","Connector_PinHeader_2.54mm:PinHeader_2x05_P2.54mm_Vertical",""
"17","JP1","1","Current Test","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
"18","JP2","1","16MHz/20MHz","Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical",""
"19","R1","1","100R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"20","R2","1","10K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"21","R3","1","3.3K","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"22","R4","1","470R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal",""
"23","R5","1","10K","Resistor_THT:R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal",""
"24","RN1","1","4.7K","Resistor_THT:R_Array_SIP6",""
"25","RN2","1","1K","Resistor_THT:R_Array_SIP9",""
"26","SW1","1","RESET","Button_Switch_THT:SW_TH_Tactile_Omron_B3F-10xx",""
"27","SW2","1","SW_DPDT_x2","Tersteeg:KFC8.5x8.5 DPDT Push Switch",""
"28","U1","1","Z80CPU","Socket:3M_Textool_240-1288-00-0602J_2x20_P2.54mm",""
"29","U2","1","74LS193","Package_DIP:DIP-16_W7.62mm_Socket_LongPads",""
"30","U3","1","74LS02","Package_DIP:DIP-14_W7.62mm_Socket_LongPads",""
"31","U4","1","27C512","Package_DIP:DIP-28_W15.24mm_Socket_LongPads",""
"32","U5","1","74LS573","Package_DIP:DIP-20_W7.62mm_Socket_LongPads",""
"33","X1","1","20MHz","Oscillator:Oscillator_DIP-8",""
"34","X2","1","16MHz","Oscillator:Oscillator_DIP-8",""
